title,link,schedule,location_name,address,tag,description
Kid's Books for Grown-Ups Bookclub,https://www.pghcitypaper.com/pittsburgh/kids-books-for-grown-ups-bookclub/Event?oid=1443202,"First Tuesday of every month, 10 a.m.",Penguin Bookshop,"417 ½ Beaver St., Sewickley
Sewickley",Literary,412-741-3838
Content Writing Service | Affordable Price | Cheap Content Writers,https://www.pghcitypaper.com/pittsburgh/content-writing-service-affordable-price-cheap-content-writers/Event?oid=17726664,"First Monday-Sunday of every month, 12 p.m.",Pittsburgh Writing Exchange,"321 S. Graham St, Pittsburgh
Friendship",Community,"I am professional content writer with 5 years experience working currently with content writing service. Welcome to content writing service one of the best custom paper writing services on the web. For several years content writing service has been providing high-quality Article Writing Services We specialize in preparing Article Writing Services, Blog Writing Services, SEO Writing Services,Social Media Writing Services,Guest Post Writing Services and Product Description Writing on a wide variety of Content. Each of our Content is 100% original and quality assured. Get high quality content writing services for really affordable price. Hire the best USA Content Writers With"
Cayuga Centers Treatment Foster Care Information Session,https://www.pghcitypaper.com/pittsburgh/cayuga-centers-treatment-foster-care-information-session/Event?oid=26181597,"First Tuesday of every month, 6-6:30 p.m.",,,Community,"Join us for an online information session about Cayuga Centers Treatment Foster Care program in Pittsburgh! Whether you're considering becoming a foster parent or just want to learn more, this event is for you. Our team of experts will provide valuable insights and answer all your questions. Discover how you can make a difference in the lives of children in need. Don't miss out on this opportunity to be part of something incredible! Learn more at https://cayugacenters.org/pittsburgh/ (412)-308-9585"
Aria412,https://www.pghcitypaper.com/pittsburgh/aria412/Event?oid=8034219,"First Tuesday of every month, 7-9 p.m.",Wallace's Tap Room,"123 N Highland Ave, Pittsburgh
East Liberty",Opera,"Aria412 is the brainchild of Kelly Lynch and Desiree Soteres.The first Tuesday of each month we bring together some of Pittsburgh's brightest singing talent on themes designed to welcome a broad audience to multiple musical traditions across opera, art songs, musical theater, and the occasional pop or rock tribute. 412-665-0555"
AWAKENING Fine Art Exhibition and Gallery,https://www.pghcitypaper.com/pittsburgh/awakening-fine-art-exhibition-and-gallery/Event?oid=27469613,"Mondays, Tuesdays, Thursdays, Fridays, 11 a.m.-4 p.m. Continues through May 3",The Castle,"700 Woodward Ave., McKees Rocks
McKees Rocks",Visual Art,"The AWAKENING Exhibit brings together a collection of more than 100 pieces from 16 Pittsburgh area artists. Come explore their work with us! Gallery admission is free, and free parking is available both on the street and in our lot on the corner of Woodward and Hazel. 412-225-1922"
“Keiko Fukazawa Retrospective: The Space in Between”,https://www.pghcitypaper.com/pittsburgh/keiko-fukazawa-retrospective-the-space-in-between/Event?oid=27322904,Mondays-Saturdays. Continues through May 3,Contemporary Craft,"5645 Butler Street, Pittsburgh
Lawrenceville",Visual Art,"In the new exhibition, “Keiko Fukazawa Retrospective: The Space in Between”, Contemporary Craft presents a comprehensive survey of California-based artist, Keiko Fukazawa’s more than forty-year career, featuring new works alongside selected archival materials. Through her use of porcelain, Fukazawa highlights ceramic artistry, process, and history advocating for the medium’s importance in the contemporary world. Keiko Fukazawa Retrospective offers a compelling narrative of artistic journey and cultural dialogue, showcasing Fukazawa’s enduring commitment to pushing boundaries and redefining the intersection of tradition, innovation, and materiality with her practice. 4122617003"
,,,,,,
Museum of Illusions Pittsburgh’s Teacher Appreciation Week Sale,https://www.pghcitypaper.com/pittsburgh/museum-of-illusions-pittsburghs-teacher-appreciation-week-sale/Event?oid=25837649,"Mondays-Sundays, 8-10 a.m.",Museum Of Illusions,"267 N Shore Dr, Pittsburgh, PA 15212, Pittsburgh
Allentown",Fashion,"In honor of Teacher Appreciation Week, from May 4th to May 10th, we're excited to treat all teachers to FREE admission at the Museum of Illusions - no illusions here, just pure appreciation! It's our way of saying thank you for your hard work and dedication. Just show your valid teacher ID at the door and step into a world of wonder and enchantment. *Offer available for walk-in visits only. 8569526085"
Walk-in Vaccine Hours,https://www.pghcitypaper.com/pittsburgh/walk-in-vaccine-hours/Event?oid=1884378,"Tuesdays-Fridays, 8-10 a.m.",Western Pennsylvania Humane Society,"1101 Western Ave., Pittsburgh
North Side",Other Stuff,412- 321-4625
Pittsburgh Scavenger Hunt: Pittsburgh’s Strength,https://www.pghcitypaper.com/pittsburgh/pittsburgh-scavenger-hunt-pittsburghs-strength/Event?oid=26475134,"Ongoing, 8-10 a.m.",Let's Roam Customer Support,"414 Grant St, Pittsburgh, PA 15219, USA, Pittsburgh
Downtown",Outside,"Where three rivers meet, you'll find Pennsylvania's great Steel Town. On this fun-filled Pittsburgh scavenger hunt, make a loop around downtown in search of storied buildings, great green spaces, and wondrous sculptures. Uncover this city's best-kept secrets and make your own history on this scavenger hunt in Pittsburgh! Some of what you'll see: Fulton Building, Pittsburgh Market Square, Kaufmann Building Explore The City: Find the best sights in your city with your group and answer questions that can only be found in person hidden on plaques, statues, art, and more. Photo Challenges and Activities: Each person will have an interactiv 8332027626"
