page_date,location,start_time,end_time,title,event_link,summary,image_url
20250319,Online,9,10 a.m.,Libraries Workshop: Data Communication: Data for Citizen Science and Community Data,https://events.cmu.edu/event/13096-libraries-workshop-data-communication-data-for,Part of the CMU Libraries’ Communicating Data and Research Storytelling workshop series.,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,1080,1080/397_UNIVERSITY_LIBRARIES_WORKSHOPS_3.rev.1736799162.png"
20250319,"Hunt Institute for Botanical Documentation, Hunt L...",9 a.m.,5 p.m.,Uncommon Perfection: Illustrations by Derek Norman,https://events.cmu.edu/event/13599-uncommon-perfection-illustrations-by-derek-norman,"In celebration of the recent acquisition of over 200 artworks by Derek Norman, this exhibition highlights work created over the last three decades and reflects his lifelong interest in the beauty of nature.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,28,400,428/498_hibd-norman-bluebells.rev.1740000919.jpg"
20250319,Online,10,11 a.m.,Libraries Workshop: Getting the Most Out of…HeinOnline’s Military and Government Collection,https://events.cmu.edu/event/13097-libraries-workshop-getting-the-most-out-ofheinonlines-,"HeinOnline’s Military and Government Collection contains thousands of diverse publications related to the history, glory, might and daily nitty-gritty of administrating America’s fighting forces.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,1080,1080/398_UNIVERSITY_LIBRARIES_WORKSHOPS_4.rev.1736799233.png"
20250319,Online,Noon,1:30 p.m.,Libraries Workshop: Collaborating on GitHub,https://events.cmu.edu/event/13098-libraries-workshop-collaborating-on-github,"In this workshop, we will introduce a basic workflow collaborating on GitHub, along with best practices and tips on how to collaborate more effectively.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,1080,1080/399_UNIVERSITY_LIBRARIES_WORKSHOPS_5.rev.1736799325.png"
20250319,"Cohon University Center, Connan Room (Level One)",Noon,1:30 p.m.,Mosaic Conference for Intersectionality Series: Intro to Gardening with Grow Pittsburgh,https://events.cmu.edu/event/13672-mosaic-conference-for-intersectionality-series,"Please join the Center for Student Diversity & Inclusion, Sustainability Initiative, Green Practices, and Grow Pittsburgh for an introductory gardening workshop geared towards apartment and small-space gardeners.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,640,656/532_grow-pgh-calendar-graphic.rev.1741096546.jpg"
20250319,"CaPS Office, Highmark Center for Health, Wellness ...",4,5 p.m.,Master’s Student Support Group,https://events.cmu.edu/event/13318-masters-student-support-group,The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,"https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,600,600/407_CaPS_Calendar_Ombre.rev.1736801401.png"
20250319,"Simmons Auditorium B1101, Tepper Building",4:30,6:30 p.m.,Predatory Data: Eugenics in Big Tech & Feminist Solidarities for an Independent Future,https://events.cmu.edu/event/13639-predatory-data-eugenics-in-big-tech-feminist-solidarit,"The Margaret Morrison Distinguished Lecture in Women’s History, featuring Anita Say Chan","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,1585,1562/507_Anita_Say_Chan.rev.1740151781.jpg"
20250319,"Well-being Lab (Room 104), Wellness & Meaning-...",7,8 p.m.,Paws to Relax: Weekly Pet Therapy Program,https://events.cmu.edu/event/13009-paws-to-relax-weekly-pet-therapy-program,,"https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,856,845/330_Capture.rev.1736271347.PNG"
20250319,"Hunt Library, Fourth Floor",,,Here to Stay: Celebrating 40 Years at the Architecture Archives,https://events.cmu.edu/event/7307-here-to-stay-celebrating-40-years-at-the,"This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,800,800/38_archarch40_website.rev.1719341395.png"
20250319,,,,Lent / Great Lent,https://events.cmu.edu/event/12499-lent-great-lent,,
