month,categories,title,link,event_date,description
3,WORKSHOPS & CLASSES,The Creative Economy,https://downtownpittsburgh.com/events/event/?id=62412,"Mar 31, 2025 | 7:00 pm - 9:00 pm","with Valerie Gay, Director of Creative Philadelphia & Chief Cultural Officer, City of Philadelphia. Valarie Gay, newly appointed Chief Cultural officer for the City of Philadelphia is putting the cities money where its mouth is. The voice of the people."
3,"ARTS + CULTURE,, COMMUNITY,, ENTERTAINMENT",The Importance of Being Earnest,https://downtownpittsburgh.com/events/event/?id=62434,"Mar 30, 2025 | 1:00 pm - 4:00 pm","ARTS + CULTURE, COMMUNITY, ENTERTAINMENT


A Trivial Comedy for Serious People!"
3,"ENTERTAINMENT,, SPORTS + RECREATION",Penguins vs. Senators,https://downtownpittsburgh.com/events/event/?id=62445,"Mar 30, 2025 | 5:00 pm - 8:00 pm","ENTERTAINMENT, SPORTS + RECREATION


Cheer on the Pittsburgh Penguins as they take on the Ottawa Senators!"
3,"ARTS + CULTURE,, ENTERTAINMENT",Beta Stage,https://downtownpittsburgh.com/events/event/?id=62318,"Mar 29, 2025 | 6:00 pm - 7:00 pm","ARTS + CULTURE, ENTERTAINMENT


Join The Butch and The Bi for an evening of stand up from Tyler Ray Kendrick and Zach Funk, improv and sketch featuring some of Pittsburgh’s funniest performers, music from Brian Adams, and more! Featuring stand up comedy from Tyler Ray Kendrick and Zach Funk, music from Winchester Ghost’s Brian Adams, and some of Pittsburgh’s funniest improvisors!"
3,"ARTS + CULTURE,, ENTERTAINMENT,, NIGHTLIFE",Well Known Strangers,https://downtownpittsburgh.com/events/event/?id=62319,"Mar 29, 2025 | 8:00 pm - 9:00 pm","ARTS + CULTURE, ENTERTAINMENT, NIGHTLIFE


Experienced improvisers  get a suggestion from the audience to inspire laugh-out-loud stories and characters. Don’t miss this night of clever and absurd scenes by this fun-loving team of goofs."
3,"ARTS + CULTURE,, ENTERTAINMENT,, NIGHTLIFE",Knights of the Arcade: Epic D&D Adventure,https://downtownpittsburgh.com/events/event/?id=62320,"Mar 29, 2025 | 9:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT, NIGHTLIFE


Join Knights of the Arcade for another hilarious D&D comedy adventure! One of Pittsburgh’s longest running and best-selling comedy shows! A recurring cast of characters are joined by special guests and led by their maniacal dungeon master. Where they’re going, who they fight, and if they ultimately succeed is decided upon live dice that are rolled and projected on the theater wall."
3,"CONVENTION,, SPORTS + RECREATION",2025 Star Dance Alliance,https://downtownpittsburgh.com/events/event/?id=62366,"Mar 29, 2025 - Mar 30, 2025","CONVENTION, SPORTS + RECREATION


Dancers will showcase their best moves at the Revolution Talent Competition in Pittsburgh."
3,"ARTS + CULTURE,, ENTERTAINMENT",Storm Large: Inside Voice,https://downtownpittsburgh.com/events/event/?id=62411,"Mar 29, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


International icon and multi-hyphenate musician, actor, playwright and performer, Storm Large has affixed herself as the queen of twisted beauty & subversive delights to a cult-like following of millions across the page, stage & screen."
3,"ENTERTAINMENT,, SPORTS + RECREATION",Pittsburgh Riverhounds vs Birmingham Legion,https://downtownpittsburgh.com/events/event/?id=62447,"Mar 29, 2025 | 7:00 pm - 10:00 pm","ENTERTAINMENT, SPORTS + RECREATION


Join us at Highmark Stadium on Saturday, March 29, as we celebrate Pittsburgh Night and cheer on the Riverhounds when they take on Birmingham Legion under the lights!"
3,"ARTS + CULTURE,, ENTERTAINMENT,, MUSIC",Zoso - The Ultimate Led Zeppelin Experience,https://downtownpittsburgh.com/events/event/?id=62452,"Mar 29, 2025 | 7:00 pm - 11:00 pm","ARTS + CULTURE, ENTERTAINMENT, MUSIC


The most accurate and captivating Led Zeppelin live show since the real thing."
3,"ARTS + CULTURE,, ENTERTAINMENT",House Team Hot Spot,https://downtownpittsburgh.com/events/event/?id=62316,"Mar 28, 2025 | 7:00 pm - 8:00 pm","ARTS + CULTURE, ENTERTAINMENT


Ignite your Friday nights at 7 pm with Arcade Comedy Theater’s ! Our talented house teams will light up the stage with spontaneous hilarity, quick-witted banter, and scenes that are sure to leave you in stitches."
3,"ARTS + CULTURE,, ENTERTAINMENT,, NIGHTLIFE",Select Start Improv Show,https://downtownpittsburgh.com/events/event/?id=62317,"Mar 28, 2025 | 9:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT, NIGHTLIFE


Get ready for another unforgettable night at City Paper’s Best Theater in PGH of 2024, Arcade Comedy Theater —where comedy titans, Select Start (City Paper’s 2 time Best Comedy Act) and Latchkey Kids (Pittsburgh Magazine’s 3 time Best Improv Team), will join forces with Chi Chi de Vivre (City Paper’s Best Drag Performer 2024) to celebrate all of their 2024 victories!"
3,"ARTS + CULTURE,, ENTERTAINMENT,, NIGHTLIFE",Danae Hays: The First Time Tour,https://downtownpittsburgh.com/events/event/?id=62340,"Mar 28, 2025 | 8:00 pm - 11:00 pm","ARTS + CULTURE, ENTERTAINMENT, NIGHTLIFE


Alabama-bred and Nashville-based, comedian, actress, and content creator, Danae Hays represents a fresh, new female voice in the comedy, acting, and music worlds."
